jid,phase,experiment_id,formulation,temperature_c,target_log_sigma,ionic_conductivity_s_cm,component_count,node_count,edge_count,salt_nodes,solvent_nodes
liquid_0055,liquid,PYA_30032021_BM048_2,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,60.0,-4.446343883785784,0.0108229031676973,3,3,6,1,2
liquid_0056,liquid,PYA_30032021_BM048_3,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,-30.0,-5.9843761964075055,0.0021762253119546,3,3,6,1,2
liquid_0057,liquid,PYA_30032021_BM048_3,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,-20.0,-5.703227183565403,0.0033420025411872,3,3,6,1,2
liquid_0058,liquid,PYA_30032021_BM048_3,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,-10.0,-5.44344613673828,0.0041882797866193,3,3,6,1,2
liquid_0059,liquid,PYA_30032021_BM048_3,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,0.0,-5.202686217264414,0.0064445554400936,3,3,6,1,2
liquid_0060,liquid,PYA_30032021_BM048_3,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,10.0,-4.97893211940269,0.0077945980394411,3,3,6,1,2
liquid_0061,liquid,PYA_30032021_BM048_3,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,20.0,-4.770443523697657,0.0082026632355431,3,3,6,1,2
liquid_0062,liquid,PYA_30032021_BM048_3,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,30.0,-4.575709742157562,0.0113831357752284,3,3,6,1,2
liquid_0063,liquid,PYA_30032021_BM048_3,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,40.0,-4.393413053482872,0.0127805597192958,3,3,6,1,2
liquid_0064,liquid,PYA_30032021_BM048_3,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,50.0,-4.22239884592684,0.0135343296254978,3,3,6,1,2
liquid_0065,liquid,PYA_30032021_BM048_3,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,60.0,-4.061651137398633,0.0151561049963329,3,3,6,1,2
liquid_0066,liquid,PYA_30032021_BM048_4,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,-30.0,-6.250644702553562,0.0018107208805021,3,3,6,1,2
liquid_0067,liquid,PYA_30032021_BM048_4,PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g,-20.0,-5.995671437511178,0.0026012615529635,3,3,6,1,2
