"phase","experiment_id","formulation","temperature_c","pc_g","ec_g","emc_g","lipf6_g","ionic_conductivity_s_cm","ln_ionic_conductivity"
"liquid","PYA_30032021_BM048_1","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","20.0","3.0105","0.0","7.2121","0.9547","0.0060810081624649","-5.138808319288822"
"liquid","PYA_30032021_BM048_1","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","30.0","3.0105","0.0","7.2121","0.9547","0.0071534131791708","-4.95513105548257"
"liquid","PYA_30032021_BM048_1","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","40.0","3.0105","0.0","7.2121","0.9547","0.008261436496666","-4.783184736195318"
"liquid","PYA_30032021_BM048_1","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","50.0","3.0105","0.0","7.2121","0.9547","0.0100146966264525","-4.621880305770036"
"liquid","PYA_30032021_BM048_1","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","60.0","3.0105","0.0","7.2121","0.9547","0.0106525802623583","-4.470259467145761"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","-30.0","3.0105","0.0","7.2121","0.9547","0.0018346685815591","-6.239614845554763"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","-20.0","3.0105","0.0","7.2121","0.9547","0.0025266577354261","-5.977395159855315"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","-10.0","3.0105","0.0","7.2121","0.9547","0.0033437423738395","-5.735104768147846"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","0.0","3.0105","0.0","7.2121","0.9547","0.0041907780559974","-5.510554840779199"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","10.0","3.0105","0.0","7.2121","0.9547","0.0052790460170282","-5.301865759419286"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","20.0","3.0105","0.0","7.2121","0.9547","0.0059848845326685","-5.107414377623413"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","30.0","3.0105","0.0","7.2121","0.9547","0.0068221806962431","-4.925791719680146"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","40.0","3.0105","0.0","7.2121","0.9547","0.0089815599786084","-4.755768784422061"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","50.0","3.0105","0.0","7.2121","0.9547","0.0105665346960588","-4.596268698321217"
"liquid","PYA_30032021_BM048_2","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","60.0","3.0105","0.0","7.2121","0.9547","0.0108229031676973","-4.446343883785784"
"liquid","PYA_30032021_BM048_3","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","-30.0","3.0105","0.0","7.2121","0.9547","0.0021762253119546","-5.9843761964075055"
"liquid","PYA_30032021_BM048_3","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","-20.0","3.0105","0.0","7.2121","0.9547","0.0033420025411872","-5.703227183565403"
"liquid","PYA_30032021_BM048_3","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","-10.0","3.0105","0.0","7.2121","0.9547","0.0041882797866193","-5.44344613673828"
"liquid","PYA_30032021_BM048_3","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","0.0","3.0105","0.0","7.2121","0.9547","0.0064445554400936","-5.202686217264414"
"liquid","PYA_30032021_BM048_3","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","10.0","3.0105","0.0","7.2121","0.9547","0.0077945980394411","-4.97893211940269"
"liquid","PYA_30032021_BM048_3","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","20.0","3.0105","0.0","7.2121","0.9547","0.0082026632355431","-4.770443523697657"
"liquid","PYA_30032021_BM048_3","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","30.0","3.0105","0.0","7.2121","0.9547","0.0113831357752284","-4.575709742157562"
"liquid","PYA_30032021_BM048_3","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","40.0","3.0105","0.0","7.2121","0.9547","0.0127805597192958","-4.393413053482872"
"liquid","PYA_30032021_BM048_3","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","50.0","3.0105","0.0","7.2121","0.9547","0.0135343296254978","-4.22239884592684"
"liquid","PYA_30032021_BM048_3","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","60.0","3.0105","0.0","7.2121","0.9547","0.0151561049963329","-4.061651137398633"
"liquid","PYA_30032021_BM048_4","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","-30.0","3.0105","0.0","7.2121","0.9547","0.0018107208805021","-6.250644702553562"
"liquid","PYA_30032021_BM048_4","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","-20.0","3.0105","0.0","7.2121","0.9547","0.0026012615529635","-5.995671437511178"
"liquid","PYA_30032021_BM048_4","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","-10.0","3.0105","0.0","7.2121","0.9547","0.0029013475440638","-5.7600767219685"
"liquid","PYA_30032021_BM048_4","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","0.0","3.0105","0.0","7.2121","0.9547","0.0041441790365485","-5.541732214409908"
"liquid","PYA_30032021_BM048_4","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","10.0","3.0105","0.0","7.2121","0.9547","0.0050346800288102","-5.338810239611946"
"liquid","PYA_30032021_BM048_4","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","20.0","3.0105","0.0","7.2121","0.9547","0.0061273763078495","-5.149732506655904"
"liquid","PYA_30032021_BM048_4","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","30.0","3.0105","0.0","7.2121","0.9547","0.0071037070976783","-4.973128976764751"
"liquid","PYA_30032021_BM048_4","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","40.0","3.0105","0.0","7.2121","0.9547","0.0082946915747437","-4.807804612122912"
"liquid","PYA_30032021_BM048_4","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","50.0","3.0105","0.0","7.2121","0.9547","0.0095008513427403","-4.652712298518788"
"liquid","PYA_30032021_BM048_4","PC:3.0105g | EMC:7.2121g | LiPF6:0.9547g","60.0","3.0105","0.0","7.2121","0.9547","0.0100440085848546","-4.506930644593733"
"liquid","PYA_30032021_BM057_1","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","-30.0","2.7017","0.345","7.209","2.403","0.0008480054190899","-6.894456097894467"
"liquid","PYA_30032021_BM057_1","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","-20.0","2.7017","0.345","7.209","2.403","0.0014601983106433","-6.508007140735926"
"liquid","PYA_30032021_BM057_1","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","-10.0","2.7017","0.345","7.209","2.403","0.0023124266149597","-6.150929185451491"
"liquid","PYA_30032021_BM057_1","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","0.0","2.7017","0.345","7.209","2.403","0.0031677772767151","-5.819996421840821"
"liquid","PYA_30032021_BM057_1","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","10.0","2.7017","0.345","7.209","2.403","0.0043823470120029","-5.512438743069329"
"liquid","PYA_30032021_BM057_1","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","20.0","2.7017","0.345","7.209","2.403","0.0062264053032844","-5.225864020379807"
"liquid","PYA_30032021_BM057_1","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","30.0","2.7017","0.345","7.209","2.403","0.0074624462925171","-4.958195761334656"
"liquid","PYA_30032021_BM057_1","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","40.0","2.7017","0.345","7.209","2.403","0.0088617218395527","-4.707622712830467"
"liquid","PYA_30032021_BM057_1","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","50.0","2.7017","0.345","7.209","2.403","0.0104511973978722","-4.472557821436241"
"liquid","PYA_30032021_BM057_1","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","60.0","2.7017","0.345","7.209","2.403","0.0125049448689818","-4.251604584935859"
"liquid","PYA_30032021_BM057_2","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","-30.0","2.7017","0.345","7.209","2.403","0.0009080399566246","-6.659383908380724"
"liquid","PYA_30032021_BM057_2","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","-20.0","2.7017","0.345","7.209","2.403","0.0016941210723178","-6.243841179942756"
"liquid","PYA_30032021_BM057_2","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","-10.0","2.7017","0.345","7.209","2.403","0.0029386225589883","-5.859880646331918"
"liquid","PYA_30032021_BM057_2","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","0.0","2.7017","0.345","7.209","2.403","0.0044801876670683","-5.504033642547976"
"liquid","PYA_30032021_BM057_2","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","10.0","2.7017","0.345","7.209","2.403","0.0080390106035464","-5.173321514538991"
