phase,formula,temperature_c,ionic_conductivity_s_cm,log10_ionic_conductivity,family,chemical_family,source_doi
solid,LiSr1.65Ti2.15W0.85O9,300,1.60E-04,-3.795880017,Perovskite,#N/A,10.1007/BF02708781
solid,Li0.68Ga0.68Si2.33O6,276,8.19E-07,-6.086716098,Phenakite,#N/A,10.1016/0167-2738(87)90048-8
solid,Li0.96Ga0.96Si2.04O6,260,6.32E-07,-6.199282922,Phenakite,#N/A,10.1016/0167-2738(87)90048-8
solid,LiGaSiO4,564.29,1.58E-06,-5.801342913,Phenakite,#N/A,10.1016/0167-2738(87)90048-8
solid,Li1.9Mg0.1TiO3.05,600,1.07E-03,-2.970616222,Rocksalt,#N/A,10.1016/j.ssi.2008.03.001
solid,Li2TiO3,186,3.52E-08,-7.453457337,Rocksalt,#N/A,10.1016/j.ssi.2006.11.002
solid,Li3.2Ge0.2P0.8S4,290,1.00E-01,-1,Thio-LISICON,#N/A,10.1149/1.1379028
solid,Li3.6Ge0.6P0.4S4,290,6.31E-02,-1.199970641,Thio-LISICON,#N/A,10.1149/1.1379028
solid,Li3.8Ge0.8P0.2S4,290,1.26E-02,-1.899629455,Thio-LISICON,#N/A,10.1149/1.1379028
solid,Li4.2Ge0.8Ga0.2S4,202,5.39E-03,-2.268411235,Thio-LISICON,#N/A,10.1016/S0167-2738(00)00277-0
solid,(YPO4)0.5(Li3PO4)0.5,523.93,2.45E-04,-3.610833916,Zircon,#N/A,10.1016/0167-2738(89)90457-8
solid,(YPO4)0.7(Li3PO4)0.3,791,6.82E-02,-1.166215625,Zircon,#N/A,10.1016/0167-2738(89)90457-8
solid,(YPO4)0.8(Li3PO4)0.2,600,3.70E-02,-1.431798276,Zircon,#N/A,10.1016/0167-2738(89)90457-8
solid,(YPO4)0.9(Li3PO4)0.1,873,1.35E-01,-0.869666232,Zircon,#N/A,10.1016/0167-2738(89)90457-8
solid,Li3InCl6,25,2.040000E-03,-2.690369833,Halide,Halides,10.1002/anie.201909805
solid,Li2(PO2N),25,1.000000E-10,-10.000000000,LIPON,Halides,10.1016/j.ssi.2012.12.013
solid,Li2.88PO3.73N0.14,25,1.400000E-13,-12.853871964,LISICON,Halides,10.1006/jssc.1995.1140
solid,Li3.70Ge0.85W0.15O4,25,3.800000E-05,-4.420216403,LISICON,Halides,10.1023/a:1026135806929
solid,Li3.75Ge0.75V0.25O4,25,5.660000E-06,-5.247183569,LISICON,Halides,10.1023/a:1026135806929
solid,Li3P0.4V0.6O4,25,3.550000E-13,-12.449771647,LISICON,Halides,10.1021/acs.chemmater.8b01504
solid,Li3PO4,25,4.200000E-18,-17.376750710,LISICON,Halides,10.1006/jssc.1995.1140
solid,(La0.9Sr0.1)LiO2,25,6.290000E-10,-9.201349355,Lanthanumlithiumoxide,Halides,10.1016/j.ssi.2015.09.001
solid,La(Li0.76Mg0.08)O2,25,7.270000E-10,-9.138465589,Lanthanumlithiumoxide,Halides,10.1016/j.ssi.2015.09.001
solid,LaLiO2,25,1.000000E-10,-10.000000000,Lanthanumlithiumoxide,Halides,10.1016/j.ssi.2015.09.001
solid,Li0.86Hf2.035(PO4)3,25,9.200000E-08,-7.036212173,NASICON,Halides,10.1021/cm970078n
solid,Li0.91Hf2.022(PO4)3,25,3.200000E-07,-6.494850022,NASICON,Halides,10.1021/cm970078n
solid,Li1.05Al0.05Ti1.95(PO4)3,25,1.100000E-03,-2.958607315,NASICON,Halides,10.1016/j.ssi.2014.07.018
solid,Li1.05Cr0.05Ti1.95(PO4)3,25,1.800000E-04,-3.744727495,NASICON,Halides,10.1016/j.ssi.2014.07.018
solid,Li1.05Fe0.05Ti1.95(PO4)3,25,1.300000E-04,-3.886056648,NASICON,Halides,10.1016/j.ssi.2014.07.018
solid,Li1.1Al0.1Ti1.9(PO4)3,25,6.700000E-04,-3.173925197,NASICON,Halides,10.1016/j.ssi.2014.07.018
